note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
6,0.25,1.0,2.0,8,2,0.5,1.0,3.0,8,2,0.5,0.5,3.0,8,1,0.125,0.5,4.5,8,3_major,6_major,3_major,4_minor
2,0.5,1.0,3.0,8,2,0.5,0.5,3.0,8,1,0.125,0.5,4.5,8,7,1.0,1.0,1.0,9,6_major,3_major,4_minor,1_minor
2,0.5,1.0,3.0,7,3,0.25,1.0,4.0,7,1,1.0,1.0,1.0,8,2,0.25,1.0,2.0,8,5_minor,4_minor,5_major,1_minor
3,0.25,1.0,4.0,7,1,1.0,1.0,1.0,8,2,0.25,1.0,2.0,8,3,0.5,1.0,3.0,8,4_minor,5_major,1_minor,5_minor
7,0.25,1.0,4.0,5,6,1.0,1.0,1.0,6,,0.25,1.0,2.0,6,6,0.5,1.0,3.0,6,7_diminished,1_minor,5_major,1_minor
6,1.0,1.0,1.0,6,,0.25,1.0,2.0,6,6,0.5,1.0,3.0,6,6,0.25,1.0,4.0,6,1_minor,5_major,1_minor,7_diminished
7,0.25,1.0,4.0,14,5,1.0,1.0,1.0,15,5,1.0,1.0,1.0,15,5,0.5,1.0,3.0,15,4_major,3_major,6_minor,3_major
5,1.0,1.0,1.0,15,5,1.0,1.0,1.0,15,5,0.5,1.0,3.0,15,3,0.25,1.0,4.0,15,3_major,6_minor,3_major,4_major
2,0.25,1.0,4.0,5,1,1.0,1.0,1.0,6,7,0.25,1.0,2.0,6,6,0.5,1.0,3.0,6,6_minor,1_minor,2_diminished,5_major
1,1.0,1.0,1.0,6,7,0.25,1.0,2.0,6,6,0.5,1.0,3.0,6,1,0.25,1.0,4.0,6,1_minor,2_diminished,5_major,6_minor
5,1.0,1.0,1.0,8,5,1.0,1.0,1.0,8,5,0.5,1.0,3.0,8,6,0.25,1.0,4.0,8,1_major,5_major,6_minor,5_major
5,1.0,1.0,1.0,8,5,0.5,1.0,3.0,8,6,0.25,1.0,4.0,8,1,1.0,1.0,1.0,9,5_major,6_minor,5_major,1_major
6,1.0,2.0,1.0,10,6,0.25,2.0,4.0,10,6,0.25,3.0,2.0,11,7,1.0,1.0,1.0,12,1_major,5_major,1_major,5_major
6,0.25,2.0,4.0,10,6,0.25,3.0,2.0,11,7,1.0,1.0,1.0,12,7,1.0,3.0,1.0,12,5_major,1_major,5_major,1_major
5,0.25,1.0,4.0,4,6,1.0,1.0,1.0,5,7,0.25,0.5,2.0,5,1,0.125,0.5,2.5,5,3_major,1_minor,3_major,5_minor
6,1.0,1.0,1.0,5,7,0.25,0.5,2.0,5,1,0.125,0.5,2.5,5,2,0.5,1.0,3.0,5,1_minor,3_major,5_minor,6_major
5,0.5,1.0,3.0,2,5,0.25,1.0,4.0,2,6,1.0,1.0,1.0,3,7,0.25,1.0,2.0,3,1_major,6_minor,1_major,5_major
5,0.25,1.0,4.0,2,6,1.0,1.0,1.0,3,7,0.25,1.0,2.0,3,1,0.5,1.0,3.0,3,6_minor,1_major,5_major,1_major
