prev_3,prev_2,prev_1,original_key,mode,beat_position,target_chord
"[52, 60, 69, 74]","[52, 60, 69, 72]","[54, 62, 68, 71]",G,minor,9,"[54, 62, 68, 71]"
"[52, 60, 69, 72]","[54, 62, 68, 71]","[54, 62, 68, 71]",G,minor,10,"[50, 60, 69, 69]"
"[54, 62, 68, 71]","[54, 62, 68, 71]","[50, 60, 69, 69]",G,minor,11,"[50, 60, 69, 69]"
"[54, 62, 68, 71]","[50, 60, 69, 69]","[50, 60, 69, 69]",G,minor,12,"[52, 59, 64, 68]"
"[50, 60, 69, 69]","[50, 60, 69, 69]","[52, 59, 64, 68]",G,minor,13,"[52, 59, 64, 68]"
"[50, 60, 69, 69]","[52, 59, 64, 68]","[52, 59, 64, 68]",G,minor,14,"[52, 59, 64, 68]"
"[52, 59, 64, 68]","[52, 59, 64, 68]","[52, 59, 64, 68]",G,minor,15,"[52, 59, 64, 68]"
"[52, 59, 64, 68]","[52, 59, 64, 68]","[52, 59, 64, 68]",G,minor,0,"[52, 64, 68, 71]"
"[52, 59, 64, 68]","[52, 59, 64, 68]","[52, 64, 68, 71]",G,minor,1,"[52, 64, 68, 71]"
"[52, 59, 64, 68]","[52, 64, 68, 71]","[52, 64, 68, 71]",G,minor,2,"[52, 64, 68, 71]"
"[52, 64, 68, 71]","[52, 64, 68, 71]","[52, 64, 68, 71]",G,minor,3,"[52, 64, 68, 71]"
"[52, 64, 68, 71]","[52, 64, 68, 71]","[52, 64, 68, 71]",G,minor,4,"[57, 64, 69, 72]"
"[52, 64, 68, 71]","[52, 64, 68, 71]","[57, 64, 69, 72]",G,minor,5,"[57, 64, 69, 72]"
"[52, 64, 68, 71]","[57, 64, 69, 72]","[57, 64, 69, 72]",G,minor,6,"[57, 64, 69, 72]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[57, 64, 69, 72]",G,minor,7,"[57, 64, 69, 72]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[57, 64, 69, 72]",G,minor,8,"[59, 62, 67, 74]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[59, 62, 67, 74]",G,minor,9,"[59, 62, 67, 74]"
"[57, 64, 69, 72]","[59, 62, 67, 74]","[59, 62, 67, 74]",G,minor,10,"[59, 62, 67, 76]"
"[59, 62, 67, 74]","[59, 62, 67, 74]","[59, 62, 67, 76]",G,minor,11,"[59, 62, 67, 77]"
"[59, 62, 67, 74]","[59, 62, 67, 76]","[59, 62, 67, 77]",G,minor,12,"[60, 60, 67, 76]"
"[59, 62, 67, 76]","[59, 62, 67, 77]","[60, 60, 67, 76]",G,minor,13,"[60, 60, 67, 76]"
"[59, 62, 67, 77]","[60, 60, 67, 76]","[60, 60, 67, 76]",G,minor,14,"[60, 60, 67, 72]"
"[60, 60, 67, 76]","[60, 60, 67, 76]","[60, 60, 67, 72]",G,minor,15,"[60, 60, 67, 72]"
"[60, 60, 67, 76]","[60, 60, 67, 72]","[60, 60, 67, 72]",G,minor,0,"[60, 60, 67, 79]"
"[60, 60, 67, 72]","[60, 60, 67, 72]","[60, 60, 67, 79]",G,minor,1,"[60, 60, 67, 79]"
"[60, 60, 67, 72]","[60, 60, 67, 79]","[60, 60, 67, 79]",G,minor,2,"[59, 62, 67, 79]"
"[60, 60, 67, 79]","[60, 60, 67, 79]","[59, 62, 67, 79]",G,minor,3,"[59, 62, 67, 79]"
"[60, 60, 67, 79]","[59, 62, 67, 79]","[59, 62, 67, 79]",G,minor,4,"[57, 64, 72, 79]"
"[59, 62, 67, 79]","[59, 62, 67, 79]","[57, 64, 72, 79]",G,minor,5,"[57, 64, 72, 79]"
"[59, 62, 67, 79]","[57, 64, 72, 79]","[57, 64, 72, 79]",G,minor,6,"[55, 64, 72, 78]"
"[57, 64, 72, 79]","[57, 64, 72, 79]","[55, 64, 72, 78]",G,minor,7,"[55, 64, 72, 76]"
"[57, 64, 72, 79]","[55, 64, 72, 78]","[55, 64, 72, 76]",G,minor,8,"[54, 57, 74, 74]"
"[55, 64, 72, 78]","[55, 64, 72, 76]","[54, 57, 74, 74]",G,minor,9,"[54, 57, 74, 74]"
"[55, 64, 72, 76]","[54, 57, 74, 74]","[54, 57, 74, 74]",G,minor,10,"[50, 62, 66, 72]"
"[54, 57, 74, 74]","[54, 57, 74, 74]","[50, 62, 66, 72]",G,minor,11,"[50, 62, 66, 72]"
"[54, 57, 74, 74]","[50, 62, 66, 72]","[50, 62, 66, 72]",G,minor,12,"[57, 62, 67, 71]"
"[50, 62, 66, 72]","[50, 62, 66, 72]","[57, 62, 67, 71]",G,minor,13,"[57, 62, 67, 71]"
"[50, 62, 66, 72]","[57, 62, 67, 71]","[57, 62, 67, 71]",G,minor,14,"[57, 62, 67, 71]"
"[57, 62, 67, 71]","[57, 62, 67, 71]","[57, 62, 67, 71]",G,minor,15,"[57, 62, 67, 71]"
"[57, 62, 67, 71]","[57, 62, 67, 71]","[57, 62, 67, 71]",G,minor,0,"[60, 60, 67, 76]"
"[57, 62, 67, 71]","[57, 62, 67, 71]","[60, 60, 67, 76]",G,minor,1,"[60, 60, 67, 76]"
"[57, 62, 67, 71]","[60, 60, 67, 76]","[60, 60, 67, 76]",G,minor,2,"[60, 60, 67, 76]"
"[60, 60, 67, 76]","[60, 60, 67, 76]","[60, 60, 67, 76]",G,minor,3,"[60, 60, 67, 76]"
"[60, 60, 67, 76]","[60, 60, 67, 76]","[60, 60, 67, 76]",G,minor,4,"[54, 60, 69, 75]"
"[60, 60, 67, 76]","[60, 60, 67, 76]","[54, 60, 69, 75]",G,minor,5,"[54, 60, 69, 75]"
"[60, 60, 67, 76]","[54, 60, 69, 75]","[54, 60, 69, 75]",G,minor,6,"[54, 60, 69, 75]"
"[54, 60, 69, 75]","[54, 60, 69, 75]","[54, 60, 69, 75]",G,minor,7,"[54, 60, 69, 75]"
"[54, 60, 69, 75]","[54, 60, 69, 75]","[54, 60, 69, 75]",G,minor,8,"[55, 59, 67, 76]"
"[54, 60, 69, 75]","[54, 60, 69, 75]","[55, 59, 67, 76]",G,minor,9,"[55, 59, 67, 76]"
"[54, 60, 69, 75]","[55, 59, 67, 76]","[55, 59, 67, 76]",G,minor,10,"[55, 59, 67, 76]"
"[55, 59, 67, 76]","[55, 59, 67, 76]","[55, 59, 67, 76]",G,minor,11,"[55, 59, 67, 76]"
"[55, 59, 67, 76]","[55, 59, 67, 76]","[55, 59, 67, 76]",G,minor,12,"[51, 59, 66, 78]"
"[55, 59, 67, 76]","[55, 59, 67, 76]","[51, 59, 66, 78]",G,minor,13,"[51, 59, 66, 78]"
"[55, 59, 67, 76]","[51, 59, 66, 78]","[51, 59, 66, 78]",G,minor,14,"[51, 59, 66, 79]"
"[51, 59, 66, 78]","[51, 59, 66, 78]","[51, 59, 66, 79]",G,minor,15,"[51, 59, 66, 81]"
"[51, 59, 66, 78]","[51, 59, 66, 79]","[51, 59, 66, 81]",G,minor,0,"[52, 59, 64, 79]"
"[51, 59, 66, 79]","[51, 59, 66, 81]","[52, 59, 64, 79]",G,minor,1,"[52, 59, 64, 79]"
"[51, 59, 66, 81]","[52, 59, 64, 79]","[52, 59, 64, 79]",G,minor,2,"[52, 64, 64, 78]"
"[52, 59, 64, 79]","[52, 59, 64, 79]","[52, 64, 64, 78]",G,minor,3,"[52, 64, 64, 78]"
"[52, 59, 64, 79]","[52, 64, 64, 78]","[52, 64, 64, 78]",G,minor,4,"[59, 64, 66, 78]"
"[52, 64, 64, 78]","[52, 64, 64, 78]","[59, 64, 66, 78]",G,minor,5,"[59, 64, 66, 78]"
"[52, 64, 64, 78]","[59, 64, 66, 78]","[59, 64, 66, 78]",G,minor,6,"[59, 63, 67, 78]"
"[59, 64, 66, 78]","[59, 64, 66, 78]","[59, 63, 67, 78]",G,minor,7,"[59, 61, 67, 78]"
"[59, 64, 66, 78]","[59, 63, 67, 78]","[59, 61, 67, 78]",G,minor,8,"[47, 63, 69, 78]"
"[59, 63, 67, 78]","[59, 61, 67, 78]","[47, 63, 69, 78]",G,minor,9,"[47, 63, 69, 78]"
"[59, 61, 67, 78]","[47, 63, 69, 78]","[47, 63, 69, 78]",G,minor,10,"[47, 63, 69, 78]"
"[47, 63, 69, 78]","[47, 63, 69, 78]","[47, 63, 69, 78]",G,minor,11,"[47, 63, 69, 78]"
"[47, 63, 69, 78]","[47, 63, 69, 78]","[47, 63, 69, 78]",G,minor,12,"[52, 59, 68, 76]"
"[47, 63, 69, 78]","[47, 63, 69, 78]","[52, 59, 68, 76]",G,minor,13,"[52, 59, 68, 76]"
"[47, 63, 69, 78]","[52, 59, 68, 76]","[52, 59, 68, 76]",G,minor,14,"[52, 59, 68, 76]"
"[52, 59, 68, 76]","[52, 59, 68, 76]","[52, 59, 68, 76]",G,minor,15,"[52, 59, 68, 76]"
"[52, 59, 68, 76]","[52, 59, 68, 76]","[52, 59, 68, 76]",G,minor,0,"[56, 64, 71, 76]"
"[52, 59, 68, 76]","[52, 59, 68, 76]","[56, 64, 71, 76]",G,minor,1,"[56, 64, 71, 76]"
"[52, 59, 68, 76]","[56, 64, 71, 76]","[56, 64, 71, 76]",G,minor,2,"[56, 64, 71, 76]"
"[56, 64, 71, 76]","[56, 64, 71, 76]","[56, 64, 71, 76]",G,minor,3,"[56, 64, 71, 76]"
"[56, 64, 71, 76]","[56, 64, 71, 76]","[56, 64, 71, 76]",G,minor,4,"[57, 64, 69, 72]"
"[56, 64, 71, 76]","[56, 64, 71, 76]","[57, 64, 69, 72]",G,minor,5,"[57, 64, 69, 72]"
"[56, 64, 71, 76]","[57, 64, 69, 72]","[57, 64, 69, 72]",G,minor,6,"[57, 64, 69, 71]"
"[57, 64, 69, 72]","[57, 64, 69, 72]","[57, 64, 69, 71]",G,minor,7,"[57, 64, 69, 71]"
"[57, 64, 69, 72]","[57, 64, 69, 71]","[57, 64, 69, 71]",G,minor,8,"[55, 64, 69, 73]"
"[57, 64, 69, 71]","[57, 64, 69, 71]","[55, 64, 69, 73]",G,minor,9,"[55, 64, 69, 73]"
"[57, 64, 69, 71]","[55, 64, 69, 73]","[55, 64, 69, 73]",G,minor,10,"[55, 64, 69, 76]"
"[55, 64, 69, 73]","[55, 64, 69, 73]","[55, 64, 69, 76]",G,minor,11,"[55, 64, 69, 76]"
"[55, 64, 69, 73]","[55, 64, 69, 76]","[55, 64, 69, 76]",G,minor,12,"[53, 62, 69, 81]"
"[55, 64, 69, 76]","[55, 64, 69, 76]","[53, 62, 69, 81]",G,minor,13,"[53, 62, 69, 81]"
"[55, 64, 69, 76]","[53, 62, 69, 81]","[53, 62, 69, 81]",G,minor,14,"[53, 62, 69, 77]"
"[53, 62, 69, 81]","[53, 62, 69, 81]","[53, 62, 69, 77]",G,minor,15,"[53, 62, 69, 77]"
"[53, 62, 69, 81]","[53, 62, 69, 77]","[53, 62, 69, 77]",G,minor,0,"[53, 62, 69, 74]"
"[53, 62, 69, 77]","[53, 62, 69, 77]","[53, 62, 69, 74]",G,minor,1,"[53, 62, 69, 74]"
"[53, 62, 69, 77]","[53, 62, 69, 74]","[53, 62, 69, 74]",G,minor,2,"[58, 62, 65, 74]"
"[53, 62, 69, 74]","[53, 62, 69, 74]","[58, 62, 65, 74]",G,minor,3,"[58, 62, 65, 74]"
"[53, 62, 69, 74]","[58, 62, 65, 74]","[58, 62, 65, 74]",G,minor,4,"[57, 62, 70, 76]"
"[58, 62, 65, 74]","[58, 62, 65, 74]","[57, 62, 70, 76]",G,minor,5,"[57, 62, 70, 76]"
"[58, 62, 65, 74]","[57, 62, 70, 76]","[57, 62, 70, 76]",G,minor,6,"[52, 62, 70, 79]"
"[57, 62, 70, 76]","[57, 62, 70, 76]","[52, 62, 70, 79]",G,minor,7,"[52, 62, 70, 79]"
"[57, 62, 70, 76]","[52, 62, 70, 79]","[52, 62, 70, 79]",G,minor,8,"[57, 61, 69, 77]"
"[52, 62, 70, 79]","[52, 62, 70, 79]","[57, 61, 69, 77]",G,minor,9,"[57, 61, 69, 77]"
"[52, 62, 70, 79]","[57, 61, 69, 77]","[57, 61, 69, 77]",G,minor,10,"[57, 61, 69, 76]"
"[57, 61, 69, 77]","[57, 61, 69, 77]","[57, 61, 69, 76]",G,minor,11,"[57, 61, 69, 76]"
"[57, 61, 69, 77]","[57, 61, 69, 76]","[57, 61, 69, 76]",G,minor,12,"[50, 62, 69, 77]"
"[57, 61, 69, 76]","[57, 61, 69, 76]","[50, 62, 69, 77]",G,minor,13,"[50, 62, 69, 77]"
"[57, 61, 69, 76]","[50, 62, 69, 77]","[50, 62, 69, 77]",G,minor,14,"[50, 62, 69, 77]"
"[50, 62, 69, 77]","[50, 62, 69, 77]","[50, 62, 69, 77]",G,minor,15,"[50, 62, 69, 77]"
"[50, 62, 69, 77]","[50, 62, 69, 77]","[50, 62, 69, 77]",G,minor,0,"[62, 64, 68, 71]"
"[50, 62, 69, 77]","[50, 62, 69, 77]","[62, 64, 68, 71]",G,minor,1,"[62, 64, 68, 71]"
"[50, 62, 69, 77]","[62, 64, 68, 71]","[62, 64, 68, 71]",G,minor,2,"[62, 64, 68, 71]"
